feature,importance
cwe_id_CWE-521,0.0
cwe_id_CWE-942,0.0
cwe_id_CWE-524,0.0
cwe_id_CWE-526,0.0
cwe_id_CWE-527,0.0
cwe_id_CWE-941,0.0
affected_entry_count,0.0
cwe_id_CWE-538,0.0
cwe_id_CWE-548,0.0
cwe_id_CWE-551,0.0
cwe_id_CWE-552,0.0
cwe_id_CWE-557,0.0
cwe_id_CWE-564,0.0
cwe_id_CWE-565,0.0
cwe_id_CWE-567,0.0
cwe_id_CWE-1236,0.0
cwe_id_CWE-939,0.0
cwe_id_CWE-670,0.0
cwe_id_CWE-1220,0.0
cwe_id_CWE-834,0.0
cwe_id_CWE-1025,0.0
cwe_id_CWE-763,0.0
cwe_id_CWE-117,0.0
cwe_id_CWE-1050,0.0
cwe_id_CWE-772,0.0
cwe_id_CWE-774,0.0
cwe_id_CWE-776,0.0
cwe_id_CWE-778,0.0
cwe_id_CWE-115,0.0
cwe_id_CWE-113,0.0
cwe_id_CWE-1104,0.0
cwe_id_CWE-1088,0.0
cwe_id_CWE-791,0.0
cwe_id_CWE-1077,0.0
cwe_id_CWE-799,0.0
cwe_id_CWE-80,0.0
cwe_id_CWE-807,0.0
cwe_id_CWE-820,0.0
cwe_id_CWE-841,0.0
cwe_id_CWE-823,0.0
cwe_id_CWE-825,0.0
cwe_id_CWE-840,0.0
cwe_id_CWE-829,0.0
cwe_id_CWE-83,0.0
cwe_id_CWE-759,0.0
cwe_id_CWE-1022,0.0
cwe_id_CWE-676,0.0
cwe_id_CWE-749,0.0
cwe_id_CWE-680,0.0
cwe_id_CWE-681,0.0
cwe_id_CWE-682,0.0
cwe_id_CWE-684,0.0
cwe_id_CWE-916,0.0
cwe_id_CWE-913,0.0
cwe_id_CWE-688,0.0
cwe_id_CWE-911,0.0
cwe_id_CWE-69,0.0
cwe_id_CWE-1191,0.0
cwe_id_CWE-694,0.0
cwe_id_CWE-91,0.0
cwe_id_CWE-696,0.0
cwe_id_CWE-697,0.0
cwe_id_CWE-698,0.0
cwe_id_CWE-703,0.0
cwe_id_CWE-704,0.0
cwe_id_CWE-705,0.0
cwe_id_CWE-488,0.0
cwe_id_CWE-1188,0.0
cwe_id_CWE-732,0.0
cwe_id_CWE-90,0.0
cwe_id_CWE-1176,0.0
cwe_id_CWE-489,0.0
cwe_id_CWE-441,0.0
cwe_id_CWE-1240,0.0
cwe_id_CWE-297,0.0
cwe_id_CWE-1321,0.0
cwe_id_CWE-223,0.0
cwe_id_CWE-226,0.0
cwe_id_CWE-229,0.0
cwe_id_CWE-24,0.0
cwe_id_CWE-244,0.0
cwe_id_CWE-131,0.0
cwe_id_CWE-252,0.0
cwe_id_CWE-255,0.0
cwe_id_CWE-256,0.0
cwe_id_CWE-259,0.0
cwe_id_CWE-261,0.0
cwe_id_CWE-264,0.0
cwe_id_CWE-1303,0.0
cwe_id_CWE-267,0.0
cwe_id_CWE-130,0.0
cwe_id_CWE-27,0.0
cwe_id_CWE-272,0.0
cwe_id_CWE-273,0.0
cwe_id_CWE-276,0.0
cwe_id_CWE-278,0.0
cwe_id_CWE-280,0.0
cwe_id_CWE-283,0.0
cwe_id_CWE-1298,0.0
cwe_id_CWE-1294,0.0
cwe_id_CWE-129,0.0
cwe_id_CWE-289,0.0
cwe_id_CWE-1289,0.0
cwe_id_CWE-1287,0.0
cwe_id_CWE-215,0.0
cwe_id_CWE-212,0.0
cwe_id_CWE-209,0.0
cwe_id_CWE-173,0.0
cwe_id_CWE-1357,0.0
cwe_id_CWE-138,0.0
cwe_id_CWE-1385,0.0
cwe_id_CWE-1390,0.0
cwe_id_CWE-1391,0.0
cwe_id_CWE-1392,0.0
cwe_id_CWE-1393,0.0
cwe_id_CWE-1394,0.0
cwe_id_CWE-141,0.0
cwe_id_CWE-146,0.0
cwe_id_CWE-15,0.0
